0 0 3
0 315 2
0 316 1
0 2 1
0 3051 1
0 505 1
0 1924 2
0 136 1
0 683 1
0 392 1
0 4189 1
0 7540 1
0 9693 1
0 9694 1
0 9695 1
0 9696 1
11 7919 1
11 9697 1
12 12 3
12 398 1
12 2057 2
20 20 5
20 367 3
20 459 1
20 3585 1
20 5623 4
20 9698 1
20 9699 1
20 9700 1
31 7667 1
38 38 3
38 103 3
38 681 1
38 67 1
38 3476 2
38 2093 1
38 9701 2
38 8035 1
38 9702 4
38 9703 4
38 9695 1
38 9704 1
60 60 1
60 44 1
60 9705 1
71 3571 1
71 193 1
80 860 1
80 2055 1
80 1694 2
80 1414 1
80 9700 1
100 100 7
100 101 4
100 128 4
100 440 1
100 1129 1
100 5623 1
100 9706 1
100 5941 1
100 9707 1
100 9708 1
100 1857 1
61 61 2
61 83 1
61 160 1
61 28 1
61 3227 1
61 9709 2
61 5467 1
61 9693 1
13 0 1
13 100 1
13 13 3
13 315 1
13 218 1
13 627 1
13 469 1
13 43 1
13 1170 1
13 167 1
13 1924 1
13 6 1
13 26 1
13 92 1
13 346 1
13 328 1
13 4891 1
13 76 1
13 28 1
13 5387 1
13 5623 1
13 9710 1
13 3604 1
13 2082 1
13 9711 1
13 9712 1
13 9713 1
13 7667 1
13 9714 1
13 9715 1
13 2446 2
13 9716 1
13 9717 1
13 9718 1
13 9719 1
13 9720 2
13 9721 1
13 9722 1
13 9723 1
13 896 1
203 3419 1
203 9724 1
203 9725 1
204 9726 2
9727 2158 3
220 34 1
220 3585 1
220 7919 2
222 222 3
222 350 1
222 765 1
222 1559 1
222 117 1
222 1817 1
222 9724 1
222 9725 1
228 7645 1
241 241 2
241 305 1
241 26 1
241 1857 1
101 100 2
101 101 7
101 264 1
101 2862 1
101 2992 1
101 1567 1
101 363 1
101 703 1
101 319 1
101 43 1
101 15 2
101 1839 1
101 2509 1
101 92 2
101 358 1
101 4840 1
101 280 4
101 9705 1
101 947 1
101 1980 1
101 28 1
101 1429 1
101 5623 2
101 9728 1
101 3210 1
101 9729 1
101 1660 1
101 2055 2
101 9730 1
101 9731 2
101 9693 1
101 4065 1
101 9732 1
101 9716 1
101 9724 1
101 9733 1
101 6106 1
264 264 7
264 702 1
264 133 1
264 459 1
264 505 1
264 994 1
264 424 1
264 592 2
264 3180 1
264 7014 1
264 4189 2
264 4444 1
264 2054 3
264 5430 1
264 1845 1
264 1721 1
264 9734 2
264 9735 1
264 9736 1
264 9737 1
264 9738 2
264 9511 2
264 9721 1
264 9739 1
264 5276 1
264 30 1
286 286 1
286 16 1
286 90 1
39 1592 1
81 81 1
81 9738 1
305 305 1
305 9740 1
305 9741 1
265 424 1
265 110 1
265 6290 1
3744 30 1
314 1570 1
315 0 2
315 315 5
315 83 3
315 103 2
315 42 3
315 136 1
315 1938 1
315 9742 1
315 9693 1
315 9743 1
323 222 1
323 323 1
323 398 1
323 23 1
323 43 5
323 4 1
323 46 1
323 93 1
323 352 1
323 6695 1
323 1592 1
323 1429 1
